R1_BAT,125.00,-58.70,90.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,151.90,-107.65,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,87.20,-48.70,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,113.50,-59.30,0.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,63.50,-94.60,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,155.50,-107.65,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,121.70,-63.70,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,157.20,-67.90,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,157.60,-65.60,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,118.30,-72.10,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,66.90,-97.60,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,66.70,-89.10,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,41.70,-68.90,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,44.80,-87.90,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,39.20,-88.10,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,33.50,-88.30,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,67.80,-72.30,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.10,-4.50,180.00,BUTTON_CUSYOMV11,MYBUTTON
R_BOOT,18.30,-5.40,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,97.20,-60.60,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.20,-4.50,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,71.90,-72.30,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.40,-4.50,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SJ1,63.50,-97.30,0.00,,SJ
TANT,135.60,-71.60,90.00,100uF,RCL_CT3528
TP1,3.30,-44.90,90.00,TP,TP20R
TP10,110.40,-109.60,90.00,TP,TP20R
TP11,114.60,-109.50,90.00,TP,TP20R
TP12,87.40,-34.00,90.00,TP,TP20R
TP13,156.80,-46.90,180.00,TP,TP20R
TP14,87.80,-37.50,90.00,TP,TP20R
TP15,61.60,-108.50,90.00,TP,TP20R
TP16,136.10,-80.30,90.00,TP,TP20R
TP17,105.90,-109.60,90.00,TP,TP20R
TP2,3.40,-41.00,90.00,TP,TP20R
TP3,145.70,-46.90,180.00,TP,TP20R
TP4,151.50,-46.70,180.00,TP,TP20R
TP5,148.00,-45.80,0.00,TP,TP20R
TP6,30.70,-57.00,90.00,TP,TP20R
TP7,57.60,-108.40,90.00,TP,TP20R
TP8,64.90,-108.20,90.00,TP,TP20R
TP9,102.00,-109.40,90.00,TP,TP20R
U1,120.70,-58.70,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
U2,15.88,-57.80,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,151.11,-100.30,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
U4,139.80,-57.60,0.00,MAX17048G+T10,SON50P200X200X80-9N
U5,86.00,-56.30,270.00,DS3231SN#,SOIC127P1032X265-16N
U6,40.20,-59.90,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
